period,rank,municipality,mszu,pos,gov_publics,goskey,transport,urban_environment,gisogd,education,sport,stray_animals,broadband,official_total,official_group,source_id
2026-05,1,Магнитогорский ГО,86.27,92.86,99.26,100.00,100.00,56.84,100.00,50.00,94.50,,100.00,87.97,leader,rating-2026-05
2026-05,2,Чебаркульский ГО,89.31,75.71,97.83,100.00,100.00,29.57,100.00,100.00,71.84,,100.00,86.43,leader,rating-2026-05
2026-05,3,Ашинский МО,90.87,80.00,98.46,100.00,100.00,51.93,77.78,100.00,63.84,,98.08,86.10,leader,rating-2026-05
2026-05,4,Южноуральский ГО,94.22,75.71,93.94,100.00,100.00,58.74,100.00,50.00,,,100.00,85.85,leader,rating-2026-05
2026-05,5,Красноармейский МО,94.56,97.14,100.00,100.00,100.00,57.51,68.67,50.00,,,88.06,83.99,intermediate,rating-2026-05
2026-05,6,Коркинский МО,96.72,97.14,100.00,100.00,100.00,8.11,100.00,50.00,86.09,,100.00,83.81,intermediate,rating-2026-05
2026-05,7,Челябинский ГО,75.04,65.71,97.18,100.00,100.00,53.04,100.00,50.00,55.39,,99.11,79.55,intermediate,rating-2026-05
2026-05,8,Локомотивный ГО,76.84,64.29,85.18,100.00,,35.92,70.00,100.00,,,100.00,79.03,intermediate,rating-2026-05
2026-05,9,Каслинский МО,94.90,90.00,97.87,100.00,100.00,45.05,22.73,50.00,87.71,,100.00,78.83,intermediate,rating-2026-05
2026-05,10,Снежинский ГО,87.39,72.86,85.26,100.00,100.00,47.47,100.00,25.00,69.60,,100.00,78.76,intermediate,rating-2026-05
2026-05,11,Нязепетровский МО,91.73,98.57,90.54,100.00,100.00,21.63,80.00,25.00,75.06,,100.00,78.25,intermediate,rating-2026-05
2026-05,12,Трехгорный ГО,87.00,82.86,90.28,100.00,100.00,33.52,100.00,25.00,63.29,,100.00,78.19,intermediate,rating-2026-05
2026-05,13,Копейский ГО,69.88,80.00,86.37,100.00,100.00,10.85,100.00,50.00,82.95,,100.00,78.00,intermediate,rating-2026-05
2026-05,14,Верхнеуфалейский ГО,91.41,72.86,94.73,66.67,100.00,46.64,100.00,50.00,53.59,,100.00,77.59,intermediate,rating-2026-05
2026-05,15,Брединский МО,89.05,78.57,96.34,60.00,100.00,52.08,93.64,50.00,,,73.33,77.00,intermediate,rating-2026-05
2026-05,16,Еманжелинский МО,85.37,78.57,98.04,100.00,100.00,33.13,90.00,25.00,55.86,,100.00,76.60,intermediate,rating-2026-05
